# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.923577370692544,0.7318693096729976,-0.013518950277137296,0,3.0,-0.03959506339120007,180.0,0.0,-0.005787024637082976
 0.08931021597729963,1.935541842376366,0.7318664866535333,-0.013518950277137296,0.2679306479318989,3.0000000000000004,-0.03959506339120007,179.9994831595798,-0.7352654516313366,-0.04212370618514193
 0.12611703536739802,1.9474356272909275,0.7318580624643855,-0.04058173295911102,0.3783511061021941,3.0,-0.03982167467982894,179.9979327199342,-0.9623225946594607,-0.09189638732414225
 0.15423341854391193,1.959259280230871,0.731844104409422,-0.06763876376997349,0.46270025563173584,3.000000000000001,-0.040043256904701396,179.99534892589566,-1.1461712221952092,-0.1532647892610708
 0.17783140499546712,1.971013355990841,0.7318246797925104,-0.0946860967424985,0.5334942149864014,2.999999999999998,-0.04025955329375615,179.99173218547517,-1.3060753146347148,-0.22461291484749882
 0.19852975032587122,1.9826984093654803,0.7317998559175185,-0.12171969463232402,0.5955892509776137,3.0000000000000027,-0.0404703005357314,179.987083069798,-1.4500981629270273,-0.30492064844776906
 0.2171600294280036,1.994314995149432,0.731769700088314,-0.14873542813314397,0.6514800882840109,3.000000000000003,-0.04067522990615165,179.9814023130134,-1.5825527885521986,-0.3934742262746173
 0.23421705727510594,2.00586366813734,0.7317342796087644,-0.17572907511698826,0.702651171825318,3.000000000000003,-0.04087406648337617,179.97469081217872,-1.7060623302738651,-0.4897402134851985
 0.25002377448515745,2.0173449831238464,0.7316936617827376,-0.20269631991434875,0.7500713234554724,2.9999999999999964,-0.041066530110408915,179.96694962711777,-1.8223559965695109,-0.5933012254371197
 0.2648048780603338,2.028759494903596,0.7316479139141012,-0.22963275265048644,0.7944146341810016,3.0,-0.04125233415498632,179.9581799802533,-1.9326384706059327,-0.7038193288947431
 0.2787242511675349,2.040107758271231,0.7315971033067231,-0.2565338686041809,0.8361727535026048,2.999999999999996,-0.041431187412422896,179.94838325641436,-2.037783193993129,-0.821013495331093
 0.29190582961756933,2.0513903280213954,0.7315412972644706,-0.2833950676399631,0.8757174888527081,3.0,-0.04160279194841861,179.93756100261712,-2.138442539569438,-0.9446448645946037
 0.3044460711836585,2.0626077589487317,0.7314805630912118,-0.31021165366136505,0.9133382135509757,3.0000000000000044,-0.041766845044705195,179.92571492782093,-2.235114814881615,-1.0745066591528831
 0.3164218230815227,2.0737606058478844,0.7314149680908143,-0.3369788341476279,0.9492654692445682,2.9999999999999956,-0.041923038179581346,179.91284690265832,-2.3281871311320903,-1.2104170210202807
 0.3278955079995678,2.0848494235134956,0.7313445795671456,-0.3636917197204848,0.9836865239987034,2.999999999999995,-0.04207105714726285,179.8989589591397,-2.4179639858145814,-1.3522137675297283
 0.33891866806892756,2.0958747667402093,0.7312694648240735,-0.39034532377806613,1.0167560042067825,2.99999999999998,-0.04221058293295097,179.88405329033222,-2.5046869775679883,-1.4997504528185188
 0.34953446104198793,2.106837190322669,0.7311896911654658,-0.4169345621942482,1.0486033831259636,3.0,-0.04234129090895274,179.86813225001384,-2.588548798546203,-1.652893345330455
 0.3597794643026395,2.1177372490555175,0.7311053258951902,-0.4434542530757098,1.0793383929079183,3.0,-0.04246285200020943,179.85119835230142,-2.66970341216832,-1.811519064444366
 0.369685007887547,2.1285754977333977,0.7310164363171143,-0.46989911658371925,1.1090550236626409,3.000000000000011,-0.04257493111358069,179.83325427125368,-2.748273615587098,-1.9755127021710126
 0.3792781787053482,2.1393524911509543,0.7309230897351058,-0.4962637748321024,1.1378345361160445,3.0,-0.04267718988402917,179.81430284044902,-2.824356762267857,-2.1447663088072155
 0.3885825900199778,2.1500687841028294,0.7308253534530323,-0.5225427518474981,1.1657477700599332,2.9999999999999942,-0.04276928408432052,179.79434705253811,-2.898029167103198,-2.3191776563715387
 0.3976189800133926,2.1607249313836663,0.7307232947747619,-0.5487304736137336,1.1928569400401776,3.000000000000006,-0.042850865118866974,179.77339005877113,-2.9693495457527033,-2.4986492171926797
 0.4064056836930031,2.1713214877881093,0.730616981004162,-0.5748212681934488,1.2192170510790092,3.0,-0.0429215805592737,179.75143516850036,-3.0383617352306467,-2.6830873116722085
 0.4149590094617817,2.1818590081108007,0.7305064794451002,-0.600809365918268,1.244877028385345,2.9999999999999933,-0.04298107389455083,179.72848584865756,-3.1050968765421714,-2.8724013904520804
 0.42329354290508164,2.192338047146384,0.7303918574014443,-0.6266888996804948,1.2698806287152449,3.0000000000000133,-0.04302898453930664,179.70454572320625,-3.1695751800393888,-3.06650342467162
 0.43142239429847,2.2027591596895033,0.7302731821770622,-0.6524539052992072,1.29426718289541,3.0,-0.04306494870230366,179.67961857256978,-3.231807372862887,-3.2653073841530937
 0.43935740209017377,2.2131229005348008,0.7301505210758212,-0.6780983219841598,1.3180722062705212,3.0,-0.04308859829488594,179.65370833303422,-3.291795893556718,-3.468728787610975
 0.44710930157665035,2.223429824476921,0.7300239414015895,-0.7036159928810078,1.3413279047299511,3.000000000000014,-0.04309956358275495,179.6268190961268,-3.3495358930078516,-3.676684312522923
 0.45468786579065146,2.2336804863105058,0.7298935104582344,-0.7290006657332694,1.3640635973719544,2.999999999999993,-0.04309747007079851,179.59895510796974,-3.4050160714437756,-3.8890914547148947
